,Week of Data Collection (Friday),Turning In Lost Item,Looking For Lost Item,Campus Directions,Campus Services,Other,Pads,Tampons,Condoms,Items Available,Returned to Owner,Donated,For Recycling,Sent to International House,Claims
11/20/2023 14:12:41,11/10/2023,24,108,78,22,4,80,70,100,48,32,92,25,8,61
11/20/2023 14:14:55,11/17/2023,4,11,44,23,3,50,40,60,59,3,101,6,15,16
11/27/2023 9:58:05,11/24/2023,20,113,112,24,10,70,80,80,95,23,101,39,5,56
12/4/2023 15:33:31,12/1/2023,28,79,65,14,5,100,70,70,68,18,56,10,4,33
12/12/2023 13:39:35,12/8/2023,22,87,78,8,5,90,50,60,109,20,14,11,2,39
12/18/2023 11:41:32,12/15/2023,10,49,60,9,2,60,50,50,88,20,50,5,10,26
1/9/2024 10:48:01,1/5/2024,5,12,57,6,4,40,40,30,83,4,131,17,13,12
1/15/2024 10:02:37,1/12/2024,20,94,96,32,7,80,80,80,45,17,8,2,2,48
1/22/2024 9:39:57,1/19/2024,30,125,74,20,12,70,60,90,155,26,31,6,5,71
1/29/2024 10:35:56,1/26/2024,25,109,78,14,8,80,90,70,113,34,36,6,6,74
2/5/2024 10:34:27,2/2/2024,32,112,102,19,8,100,90,6,201,35,79,5,4,54
2/12/2024 10:19:26,2/9/2024,23,105,74,27,14,90,70,60,162,23,90,9,19,63
2/20/2024 10:45:54,2/16/2024,17,124,84,14,12,100,70,80,157,21,98,13,15,55
2/26/2024 10:19:22,2/23/2024,5,25,42,3,5,40,40,50,84,9,168,58,8,19
3/4/2024 9:55:16,3/1/2024,20,91,67,9,4,90,70,110,51,25,117,15,1,50
3/11/2024 9:21:43,3/8/2024,24,122,79,10,8,80,70,90,123,27,68,20,4,58
3/18/2024 14:46:12,3/15/2024,32,99,78,17,7,100,90,90,73,26,50,7,9,50
3/25/2024 10:43:20,3/22/2024,20,73,38,11,10,100,70,90,208,30,82,5,3,38
4/2/2024 10:50:03,3/29/2024,17,66,61,13,9,70,50,40,53,14,82,6,5,29
4/8/2024 11:11:26,4/5/2024,9,69,39,14,4,80,60,50,96,23,122,13,7,35
4/17/2024 13:25:59,4/12/2024,19,77,51,12,13,90,70,70,68,12,57,6,4,30
4/22/2024 11:01:46,4/19/2024,23,47,41,11,4,50,50,50,90,14,88,26,4,45
5/3/2024 14:16:45,5/3/2024,5,15,24,6,0,50,40,50,134,5,37,7,6,15
5/10/2024 15:40:26,5/10/2024,5,27,48,8,6,70,50,70,25,3,83,18,3,18
5/17/2024 14:30:46,5/17/2024,5,29,31,5,3,70,60,50,107,10,82,12,1,19
5/24/2024 14:23:21,5/24/2024,2,14,42,1,1,40,40,40,113,8,24,3,4,17
5/31/2024 14:11:42,5/31/2024,4,14,49,5,2,50,40,60,73,12,87,16,2,16
6/7/2024 14:33:59,6/7/2024,7,37,11,1,2,70,50,60,62,18,78,6,2,18
6/14/2024 14:25:01,6/14/2024,3,26,37,5,0,40,20,40,99,6,30,16,3,11
6/21/2024 14:21:35,6/21/2024,4,26,32,4,1,50,20,50,56,13,51,26,0,10
6/28/2024 14:39:41,6/28/2024,2,16,46,2,0,50,20,40,51,9,69,12,4,14
7/5/2024 14:12:19,7/5/2024,3,14,33,4,3,60,40,40,73,6,56,8,3,13
7/12/2024 14:42:25,7/12/2024,3,24,56,5,2,40,30,40,69,5,41,9,2,8
7/19/2024 14:19:31,7/19/2024,3,27,28,4,3,40,30,40,101,12,29,2,1,17
7/29/2024 11:56:34,7/26/2024,4,26,30,6,1,40,30,50,38,7,70,10,1,13
8/7/2024 11:37:17,8/2/2024,3,20,49,5,2,40,40,50,70,6,50,15,2,8
8/9/2024 15:04:44,8/9/2024,1,17,29,14,2,40,20,40,41,6,32,5,2,12
8/16/2024 14:13:29,8/16/2024,1,16,58,11,1,60,30,60,36,5,64,20,0,6
8/26/2024 12:45:30,8/23/2024,4,17,78,22,1,50,40,60,108,4,30,3,0,11
9/5/2024 11:29:06,8/30/2024,2,23,198,36,7,50,30,50,78,5,40,5,1,13
9/6/2024 15:45:04,9/6/2024,22,64,207,43,19,80,60,80,64,24,100,11,13,61
9/13/2024 15:44:36,9/13/2024,22,140,165,45,10,80,80,60,102,30,72,7,2,81
9/20/2024 15:45:34,9/20/2024,38,137,109,28,22,90,70,60,120,27,52,6,3,74
10/3/2024 16:14:29,9/27/2024,22,147,134,23,16,70,80,80,108,24,76,14,3,77
10/4/2024 16:48:39,10/4/2024,30,130,92,18,11,110,80,60,160,31,88,28,7,64
10/11/2024 18:47:41,10/11/2024,38,143,88,19,17,120,100,90,146,50,38,20,3,61
10/23/2024 11:41:49,10/18/2024,27,115,78,12,16,100,70,60,150,30,74,18,6,47
10/25/2024 17:36:22,10/25/2024,25,136,106,18,9,110,90,80,127,40,128,38,8,52
11/1/2024 17:07:05,11/1/2024,26,114,84,21,16,145,60,70,90,28,175,21,10,51
